areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-10-29,00_04,799,4914,151.7
E92000001,England,nation,2021-10-29,00_59,28376,203253,473.9
E92000001,England,nation,2021-10-29,05_09,2834,19392,547.9
E92000001,England,nation,2021-10-29,10_14,4608,38314,1115.2
E92000001,England,nation,2021-10-29,15_19,2329,17704,568.2
E92000001,England,nation,2021-10-29,20_24,1136,7492,215.8
E92000001,England,nation,2021-10-29,25_29,1494,10598,281.0
E92000001,England,nation,2021-10-29,30_34,1993,14001,366.1
E92000001,England,nation,2021-10-29,35_39,2577,17242,461.2
E92000001,England,nation,2021-10-29,40_44,3242,22023,633.5
E92000001,England,nation,2021-10-29,45_49,2953,20097,552.3
E92000001,England,nation,2021-10-29,50_54,2488,17529,452.3
E92000001,England,nation,2021-10-29,55_59,1923,13947,370.8
E92000001,England,nation,2021-10-29,60+,4850,32268,236.2
E92000001,England,nation,2021-10-29,60_64,1622,10490,328.1
E92000001,England,nation,2021-10-29,65_69,1195,7847,281.8
E92000001,England,nation,2021-10-29,70_74,1034,6566,233.3
E92000001,England,nation,2021-10-29,75_79,522,3802,189.2
E92000001,England,nation,2021-10-29,80_84,236,1709,117.9
E92000001,England,nation,2021-10-29,85_89,147,1089,123.0
E92000001,England,nation,2021-10-29,90+,94,765,146.8
E92000001,England,nation,2021-10-29,unassigned,5,75,
E92000001,England,nation,2021-10-28,00_04,728,4767,147.2
E92000001,England,nation,2021-10-28,00_59,29528,203925,475.5
E92000001,England,nation,2021-10-28,05_09,2732,19371,547.3
E92000001,England,nation,2021-10-28,10_14,4843,39986,1163.9
E92000001,England,nation,2021-10-28,15_19,2348,18249,585.7
E92000001,England,nation,2021-10-28,20_24,1112,7335,211.2
E92000001,England,nation,2021-10-28,25_29,1666,10510,278.7
E92000001,England,nation,2021-10-28,30_34,2125,13858,362.3
E92000001,England,nation,2021-10-28,35_39,2666,16932,452.9
E92000001,England,nation,2021-10-28,40_44,3478,21723,624.9
E92000001,England,nation,2021-10-28,45_49,3077,19859,545.8
E92000001,England,nation,2021-10-28,50_54,2630,17465,450.7
E92000001,England,nation,2021-10-28,55_59,2123,13870,368.7
E92000001,England,nation,2021-10-28,60+,4767,32164,235.4
E92000001,England,nation,2021-10-28,60_64,1597,10319,322.8
E92000001,England,nation,2021-10-28,65_69,1164,7770,279.1
E92000001,England,nation,2021-10-28,70_74,926,6518,231.6
